host_neighbourhood,host_identity_verified,neighbourhood,city,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
Irvine Business Complex,t,San Jose,New York,95136,Entire townhouse,Entire home/apt,6,1,3,3,28,58,88,362,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
,t,,,95050,Entire rental unit,Entire home/apt,4,1,1,2,18,48,78,167,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,San Francisco,San Francisco,95125,Entire home,Entire home/apt,8,1,4,4,0,0,0,262,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Central San Jose,t,Central San Jose,Central San Jose,95117,Entire serviced apartment,Entire home/apt,2,1,1,1,29,59,89,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Berryessa,t,San Jose,Cupertino,95131,Entire home,Entire home/apt,8,1,3,4,2,26,56,235,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,Sunnyvale,Sunnyvale,94087,Entire guest suite,Entire home/apt,2,1,1,1,27,40,57,331,2,5,5,5,5,5,4.5,5
College Terrace,t,Palo Alto,Palo Alto,94304,Private room in home,Private room,2,1,1,1,8,31,61,256,7,4.29,4.29,4.43,5,5,5,4.43
Rose Garden,f,Springfield,Springfield,95116,Private room in home,Private room,2,1,1,1,30,60,90,90,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,Sunnyvale,Sunnyvale,95051,Entire condo,Entire home/apt,5,1,2,3,0,28,58,333,1,5,5,5,5,5,5,5
Santa Clara,t,Sunnyvale,Sunnyvale,94085,Entire home,Entire home/apt,2,1,1,2,0,20,50,324,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,San Jose,San Jose,95112,Private room in home,Private room,1,1,1,1,23,53,83,173,1,2,4,2,2,2,4,2
Brigadoon,t,San Jose,San Jose,95121,Entire home,Entire home/apt,5,1,2,3,10,33,56,319,8,5,5,5,4.88,5,5,5
San Francisco,t,Sunnyvale,San Francisco,94087,Private room in home,Private room,2,1,1,1,27,57,87,361,1,4,4,5,4,4,4,3
Evergreen,t,San Jose,San Jose,95121,Private room in home,Private room,2,1,1,1,30,60,90,364,1,4,4,4,4,4,4,4
Old Palo Alto,t,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,6,1,4,4,0,0,0,201,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,Mountain View,Hawthorne,94040,Entire serviced apartment,Entire home/apt,3,1,1,2,29,59,89,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,Mountain View,Hawthorne,94040,Entire serviced apartment,Entire home/apt,3,1,1,2,29,59,89,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Rose Garden,f,Springfield,Springfield,95128,Private room in home,Private room,2,1,1,1,30,60,90,90,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
South San Jose,t,San Jose,San Jose,95127,Entire guesthouse,Entire home/apt,5,1,2,3,19,42,68,341,1,5,5,3,5,5,5,4
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,30,60,90,365,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,San Jose,Hawthorne,95129,Entire serviced apartment,Entire home/apt,3,1,1,2,30,60,90,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,San Jose,Hawthorne,95129,Entire serviced apartment,Entire home/apt,3,1,1,2,30,60,90,365,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Pacifica,t,Pacifica,Pacifica,95116,Entire home,Entire home/apt,10,1,4,4,16,29,52,93,2,5,5,5,5,5,5,5
Cambridge,t,San Jose,Hawthorne,95129,Entire serviced apartment,Entire home/apt,5,1,2,3,30,60,90,365,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Willow Glen,t,San Jose,Palmas del Mar,95124,Entire home,Entire home/apt,7,1,3,4,20,50,80,169,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
San Jose,t,San Jose,San Jose,95131,Entire rental unit,Entire home/apt,2,1,1,1,30,60,90,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
South San Jose,t,San Jose,San Jose,95125,Entire home,Entire home/apt,8,1,3,3,25,55,85,359,5,4.8,5,5,4.8,5,4,4.6
Sunnyvale,t,Mountain View,Mountain View,94807,Camper/RV,Entire home/apt,2,1,1,1,13,37,67,67,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,Mountain View,New York,94043,Entire rental unit,Entire home/apt,2,1,1,1,0,9,9,271,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cambridge,t,Milpitas,New York,95035,Entire rental unit,Entire home/apt,2,1,1,1,0,0,0,214,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Central San Jose,t,Central San Jose,Central San Jose,95014,Entire serviced apartment,Entire home/apt,2,1,1,1,28,58,88,362,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,San Jose,San Jose,95112,Private room in home,Private room,1,1,1,1,0,29,59,59,2,4.5,4,4.5,4,5,4.5,5
South San Jose,t,San Jose,San Jose,95136,Private room in townhouse,Private room,1,1,1,1,2,32,62,336,1,5,5,5,5,5,5,5
West Valley,t,Cupertino,Cupertino,95129,Private room in home,Private room,2,1,1,1,30,60,90,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
University South,t,University South,University South,94301,Private room in home,Private room,1,1,1,1,0,24,54,329,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Alum Rock,t,San Jose,San Jose,95122,Private room in home,Private room,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Meadows,t,San Jose,San Jose,95122,Private room in home,Private room,1,1,1,1,30,60,90,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Lakewood,t,Fremont,Fremont,95051,Private room in home,Private room,1,1,1,1,24,37,57,146,1,1,1,2,2,3,2,1
Los Angeles,t,Los Angeles,Los Angeles,95014,Private room in serviced apartment,Private room,2,1,1,1,0,0,0,29,1,5,5,5,5,5,5,5
Lakewood,t,Fremont,Fremont,95051,Private room in home,Private room,2,1,1,1,30,56,86,175,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Centerville,t,Fremont,Fremont,95124,Private room in home,Private room,2,1,1,1,0,0,1,275,3,4.67,5,4.67,5,5,5,5
Buena Vista,t,San Francisco,San Francisco,95126,Private room in condo,Private room,2,1,1,2,18,48,78,353,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Saratoga,t,Saratoga,Saratoga,95070,Entire guesthouse,Entire home/apt,2,1,1,1,26,56,86,360,1,5,5,5,5,5,5,5
Sunnyvale,t,San Francisco,San Francisco,94022,Entire home,Entire home/apt,8,1,4,4,3,33,63,338,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Centerville,t,Fremont,Fremont,95124,Private room in home,Private room,1,1,1,1,0,0,0,272,1,4,5,5,4,5,3,5
Centerville,t,Fremont,Fremont,95124,Private room in home,Private room,1,1,1,1,19,47,77,351,3,5,5,4.67,5,5,4.67,5
Central San Jose,t,Central San Jose,Central San Jose,94807,Entire serviced apartment,Entire home/apt,2,1,1,1,26,56,86,361,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Piedmont,t,San Jose,San Jose,95035,Entire villa,Entire home/apt,8,1,4,4,18,48,78,352,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,San Francisco,San Francisco,95051,Entire townhouse,Entire home/apt,8,1,4,4,12,12,30,305,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Berryessa,t,Berryessa,Berryessa,95132,Entire home,Entire home/apt,12,1,5,6,20,44,71,148,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Rex Manor,t,Palo Alto,Palo Alto,94043,Entire home,Entire home/apt,8,1,3,3,8,23,43,304,2,4,4.5,4,5,4.5,4,3
Lakewood,t,Fremont,Fremont,94089,Shared room in home,Shared room,1,1,1,1,3,33,63,153,2,4.5,4,4,4.5,4.5,4.5,4.5
Alum Rock,f,San Jose,Alum Rock,95127,Shared room in home,Shared room,6,1,1,3,1,24,54,328,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Alum Rock,f,Alum Rock,Alum Rock,95127,Shared room in home,Shared room,2,1,1,1,4,34,64,338,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Alum Rock,f,Alum Rock,Alum Rock,95127,Private room in home,Private room,2,1,1,1,4,34,64,338,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Berryessa,t,Berryessa,Berryessa,95131,Private room in home,Private room,1,1,1,1,30,60,90,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
South San Jose,f,San Jose,South San Jose,95111,Entire guest suite,Entire home/apt,6,1,2,2,9,36,65,65,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Rose Garden,t,Rose Garden,Rose Garden,95050,Entire home,Entire home/apt,8,1,4,4,0,17,47,120,3,5,5,5,5,5,5,4.67
Rivermark of Santa Clara,t,Santa Clara,Santa Clara,95054,Entire condo,Entire home/apt,4,1,2,2,19,49,79,353,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Midtown,t,Palo Alto,Palo Alto,94303,Private room in home,Private room,2,1,1,1,20,22,52,141,1,4,5,5,4,4,4,4
Broadway - Palmhaven,t,San Jose,San Jose,95125,Entire home,Entire home/apt,12,1,3,5,26,56,86,361,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cupertino,t,Sunnyvale,Cupertino,94085,Private room in home,Private room,2,1,1,1,19,49,79,354,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
San Tomas,f,San Tomas,San Tomas,95032,Entire home,Entire home/apt,6,1,3,4,30,60,90,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Central San Jose,t,Central San Jose,Central San Jose,95110,Entire home,Entire home/apt,2,1,1,1,13,43,73,163,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,Sunnyvale,Sunnyvale,94043,Entire rental unit,Entire home/apt,4,1,1,2,6,32,32,203,2,5,4.5,5,5,5,5,4.5
Canoas East,t,United States,United States,95123,Private room in home,Private room,2,1,1,1,0,17,47,92,3,4.67,4.67,5,5,5,4.67,5
Canoas East,t,United States,United States,95123,Private room in home,Private room,2,1,1,1,28,58,88,133,1,5,5,5,5,5,5,5
Rex Manor,t,Palo Alto,Palo Alto,94086,Entire home,Entire home/apt,6,1,2,3,0,6,36,126,2,5,5,5,5,5,5,5
Canoas East,t,United States,United States,95123,Private room in home,Private room,2,1,1,1,13,43,73,118,3,4.67,4.67,4.67,5,5,4.67,4.67
Canoas East,t,United States,United States,95123,Private room in home,Private room,2,1,1,1,27,57,87,132,1,3,5,3,5,5,5,4
Canoas East,t,United States,United States,95123,Private room in home,Private room,4,1,2,2,18,48,78,123,1,5,5,5,5,5,5,5
Cambridge,t,San Jose,New York,95113,Entire rental unit,Entire home/apt,2,1,1,1,0,0,0,201,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Goodyear - Mastic,t,San Jose,San Jose,95110,Entire home,Entire home/apt,4,1,2,2,27,57,87,361,3,4.33,5,4.67,4.67,5,4.33,4.33
Lakewood,t,Fremont,Fremont,95054,Private room in home,Private room,2,1,1,1,20,50,80,169,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Rincon Hill,t,United States,United States,95113,Entire condo,Entire home/apt,5,1,2,3,29,59,89,363,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
College Terrace,f,Buffalo Grove,Buffalo Grove,94036,Private room in vacation home,Private room,1,1,1,1,0,0,0,261,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Lakewood,t,Fremont,Fremont,95054,Private room in home,Private room,2,1,1,1,26,56,86,175,1,4,4,5,4,5,4,5
Lakewood,t,Fremont,Fremont,95054,Shared room in home,Shared room,2,1,1,1,21,51,81,170,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,Sunnyvale,Sunnyvale,94087,Private room in townhouse,Private room,2,1,1,1,0,0,21,296,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,t,West Valley,West Valley,95129,Entire guest suite,Entire home/apt,2,1,1,1,10,30,60,335,3,4.33,4.67,5,3.67,4.33,5,3.33
Lakewood,t,Fremont,Fremont,94043,Shared room in home,Shared room,1,1,1,1,4,34,64,154,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,Sunnyvale,Sunnyvale,94087,Private room in townhouse,Private room,2,1,1,1,0,19,49,324,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Lakewood,t,Fremont,Fremont,95129,Entire home,Entire home/apt,4,1,2,2,30,60,90,179,1,2,3,5,5,3,5,4
Central San Jose,t,Central San Jose,Central San Jose,95110,Entire rental unit,Entire home/apt,5,1,2,2,14,37,67,156,5,5,4.8,4.8,4.8,4.8,4.8,4.8
Sunnyvale,t,Sunnyvale,Sunnyvale,94087,Private room in townhouse,Private room,2,1,1,1,15,45,75,350,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,Sunnyvale,Sunnyvale,94085,Private room in townhouse,Private room,3,1,1,2,3,33,63,338,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in guest suite,Private room,1,1,1,1,0,0,23,298,1,5,5,5,5,5,5,5
Santa Clara,t,San Jose,San Jose,95050,Private room in home,Private room,2,1,1,1,0,17,46,46,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Alum Rock,t,Alum Rock,Alum Rock,95119,Private room in home,Private room,1,1,1,1,8,8,10,10,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Valley View - Reed,t,Mountain View,Mountain View,94043,Entire guest suite,Entire home/apt,4,1,1,2,1,7,37,311,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,t,San Jose,San Jose,95128,Private room in rental unit,Private room,1,1,1,2,18,48,78,353,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Charter Oak,t,San Francisco,San Francisco,95133,Entire rental unit,Entire home/apt,4,1,2,2,19,49,79,354,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Bonita - 24th,t,Bonita - 24th,Bonita - 24th,95116,Shared room in home,Shared room,2,1,1,1,27,57,87,361,1,1,1,1,1,1,1,1
Bonita - 24th,t,Bonita - 24th,Bonita - 24th,94085,Private room in home,Private room,2,1,1,1,10,40,53,321,1,4,4,4,5,5,5,4
Bonita - 24th,t,Bonita - 24th,Bonita - 24th,94085,Private room in home,Private room,2,1,1,1,14,44,74,349,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Centerville,t,Fremont,Fremont,95124,Private room in home,Private room,2,1,1,1,11,41,71,345,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Willow Glen,t,Willow Glen,Willow Glen,95125,Private room in home,Private room,1,1,1,1,18,48,78,352,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cupertino,t,Sunnyvale,Cupertino,94085,Private room in home,Private room,1,1,1,1,2,2,2,277,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Willow Glen,t,San Jose,San Jose,95125,Private room in townhouse,Private room,2,1,1,1,30,60,90,365,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Fallen Leaf,t,Fallen Leaf,Fallen Leaf,95031,Entire guest suite,Entire home/apt,2,1,1,1,0,28,58,332,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,t,San Jose,San Jose,95129,Entire home,Entire home/apt,7,1,3,5,2,32,62,135,1,5,5,5,5,5,5,5
Alum Rock,t,San Jose,San Jose,95116,Private room in home,Private room,3,1,1,1,10,40,70,345,1,5,5,4,5,5,5,5
Gardner,t,San Jose,Gardner,95125,Entire home,Entire home/apt,16,1,8,10,15,27,50,302,1,5,5,4,5,5,5,5
Menlo Park,f,Menlo Park,Menlo Park,95051,Private room in home,Private room,1,1,1,1,0,0,0,268,1,5,5,5,5,5,5,5
Menlo Park,f,Menlo Park,Menlo Park,95051,Private room in home,Private room,1,1,1,1,18,31,49,323,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Sunnyvale,t,Sunnyvale,Sunnyvale,95086,Entire home,Entire home/apt,4,1,2,3,0,18,48,323,2,4,3.5,3,5,4,5,4
Santa Clara,t,Santa Clara,Santa Clara,95150,Entire guesthouse,Entire home/apt,5,1,2,3,22,52,80,355,1,4,5,3,5,5,5,4
Alum Rock,t,San Jose,San Jose,95116,Private room in home,Private room,2,1,1,1,19,49,79,353,1,5,5,5,5,5,5,5
Goodyear - Mastic,t,San Jose,San Jose,95110,Entire home,Entire home/apt,4,1,2,2,18,48,78,353,2,5,5,5,5,5,5,5
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,3,1,1,2,24,54,84,84,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Fitler Square,t,United States,United States,94087,Entire home,Entire home/apt,6,1,3,3,26,56,85,85,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Claremont Hills,t,San Francisco,San Francisco,95037,Entire rental unit,Entire home/apt,6,1,3,3,0,0,0,201,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Edenvale,t,San Jose,San Jose,95123,Entire home,Entire home/apt,4,1,2,2,0,0,17,196,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Parkview,t,Sunnyvale,Sunnyvale,95136,Entire townhouse,Entire home/apt,4,1,2,2,20,50,80,354,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Lakewood,t,Fremont,Fremont,95051,Private room in home,Private room,2,1,1,1,17,47,77,167,1,1,1,4,1,1,4,1
Lakewood,t,Fremont,Fremont,95051,Private room in home,Private room,2,1,1,1,0,22,52,142,2,4.5,5,4.5,5,5,5,5
Lakewood,t,Fremont,Fremont,95054,Private room in home,Private room,2,1,1,1,23,53,82,82,2,3.5,4,3.5,3,5,4.5,3.5
East San Mateo,t,San Jose,San Jose,95112,Entire serviced apartment,Entire home/apt,3,1,1,2,19,49,79,156,3,4,4.33,3.67,5,5,4.33,3.67
Lakewood,t,Fremont,Fremont,95054,Private room in home,Private room,2,1,1,1,4,34,63,63,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,3,1,1,2,25,55,85,174,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Atlanta Bird,t,San Jose,San Francisco,95127,Entire home,Entire home/apt,10,1,4,5,18,48,78,352,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Sacramento,f,Santa Clara,West Sacramento,95051,Private room in townhouse,Private room,2,1,1,1,9,39,69,343,3,5,5,5,5,5,5,5
Berkeley,t,Berkeley,Berkeley,94043,Private room in condo,Private room,2,1,1,1,30,60,90,364,1,5,5,5,5,5,5,5
Lamanda Park,t,Los Angeles,Los Angeles,95054,Entire home,Entire home/apt,8,1,3,4,22,47,77,167,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Wildhorse,t,Los Altos Hills,Los Altos Hills,94022,Private room in home,Private room,1,1,1,1,1,30,60,334,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
West Valley,t,West Valley,West Valley,95130,Private room in home,Private room,2,1,1,1,0,29,59,333,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Midtown,t,United States,United States,94303,Private room in home,Private room,2,1,1,1,1,16,46,320,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
,t,,,95050,Private room in home,Private room,2,1,1,1,30,60,90,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Old Palo Alto,t,Old Palo Alto,Old Palo Alto,94301,Private room in villa,Private room,2,1,1,1,19,47,77,77,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Cupertino,t,Sunnyvale,Cupertino,94085,Private room in home,Private room,1,1,1,1,0,30,60,335,1,5,5,5,5,5,5,5
Old Mountain View,t,Mountain View,Mountain View,94041,Private room in home,Private room,2,1,1,1,0,0,0,8,1,5,5,5,5,5,5,5
Alum Rock,t,San Jose,San Jose,95127,Private room in home,Private room,2,1,1,1,23,53,83,172,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Orange,t,Palo Alto,San Francisco,94306,Room in boutique hotel,Private room,4,1,1,2,4,34,64,339,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Orange,t,Palo Alto,San Francisco,94306,Room in boutique hotel,Private room,2,1,1,1,4,34,64,339,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Orange,t,Palo Alto,San Francisco,94306,Room in boutique hotel,Private room,2,1,1,1,4,34,64,339,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Orange,t,Palo Alto,San Francisco,94036,Room in boutique hotel,Private room,2,1,1,1,4,34,64,339,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Palo Alto,t,Mountain View,Mountain View,94039,Entire home,Entire home/apt,4,1,2,2,18,48,78,108,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Valley View - Reed,t,Mountain View,Mountain View,95051,Entire home,Entire home/apt,6,1,3,3,3,27,57,332,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Willow Glen,t,San Jose,Willow Glen,95125,Entire home,Entire home/apt,6,1,2,3,29,59,88,88,1,5,5,5,5,5,5,4
Downtown,t,San Jose,San Jose,95112,Entire townhouse,Entire home/apt,4,1,2,3,19,45,75,77,2,5,5,5,5,5,5,5
Ruskin,t,San Jose,San Jose,95132,Private room in home,Private room,6,1,1,1,30,60,90,364,1,5,3,4,3,5,5,5
West Valley,t,Santa Clara,West Valley,95051,Entire guesthouse,Entire home/apt,4,1,1,2,0,17,47,322,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Northside,f,San Jose,Northside,95112,Entire guest suite,Entire home/apt,3,1,1,2,14,28,57,318,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Alum Rock,t,Alum Rock,Alum Rock,95133,Private room in home,Private room,2,1,1,1,18,48,78,168,1,5,5,5,5,5,5,5
College Terrace,t,College Terrace,College Terrace,94036,Entire home,Entire home/apt,8,1,2,4,19,49,79,354,3,5,5,5,5,5,5,5
Sunnyvale West,t,Sunnyvale,Sunnyvale West,94086,Entire rental unit,Entire home/apt,2,1,1,1,14,30,49,49,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Charleston Meadow,f,Palo Alto,Palo Alto,94306,Entire home,Entire home/apt,3,1,3,2,27,57,87,98,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Salyer,t,Salyer,Salyer,95116,Entire cabin,Entire home/apt,4,1,2,2,1,31,61,335,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Morse Park,t,Morse Park,Morse Park,95121,Entire home,Entire home/apt,8,1,4,5,27,57,82,356,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
North Whisman,t,Mountain View,Mountain View,94043,Entire rental unit,Entire home/apt,2,1,1,1,22,52,82,357,1,5,5,5,5,5,5,5
North Whisman,t,Mountain View,Mountain View,94025,Entire rental unit,Entire home/apt,2,1,1,1,11,13,43,318,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
South San Jose,t,San Jose,San Jose,95125,Entire home,Entire home/apt,8,1,3,3,25,55,85,360,1,5,5,5,5,5,5,5
Edenvale,t,San Jose,San Jose,95123,Private room in home,Private room,1,1,1,1,30,60,89,89,1,5,5,4,5,5,4,5
Canoas West,t,San Francisco,San Francisco,95123,Private room in villa,Private room,1,1,1,1,8,38,68,157,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Valley View - Reed,t,Mountain View,Mountain View,95050,Entire home,Entire home/apt,6,1,3,3,18,48,78,353,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,0,23,53,327,2,5,5,5,5,5,5,5
Valley View - Reed,t,Mountain View,Mountain View,95125,Private room in home,Private room,2,1,1,1,11,41,71,345,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Valley View - Reed,t,Mountain View,Mountain View,95125,Private room in home,Private room,2,1,1,1,30,60,90,364,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Valley View - Reed,t,Mountain View,Mountain View,95125,Private room in home,Private room,2,1,1,1,19,49,79,353,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Old Mountain View,t,Mountain View,Mountain View,94041,Private room in home,Private room,2,1,1,1,0,0,14,14,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
